target,test_family,behavior_variable,behavior_label,n_obs,spearman_r,effect_size,permutation_p,fdr_q,effect_sign,analysis_family,target_class,natural_state,natural_state_token,channel_group,channel_group_token,band,band_token,feature_scope
state_working_ila_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,204,-0.4548065885971807,0.4548065885971807,8.279941114746499e-12,7.174776882382108e-10,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,ILA,ila,delta,delta,whole_slice_norm
state_working_ila_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,204,-0.45167400806328495,0.45167400806328495,1.1957961470636847e-11,7.174776882382108e-10,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,ILA,ila,theta,theta,whole_slice_norm
state_nrem_pl_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,468,0.29716422058583336,0.29716422058583336,5.372657674171955e-11,2.149063069668782e-09,positive,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,PL,pl,gamma,gamma,whole_slice_norm
state_working_mos_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,204,-0.42819661749156074,0.42819661749156074,1.673296211378874e-10,5.019888634136622e-09,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,MOs,mos,delta,delta,whole_slice_norm
lfp_pl_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,0.21236629469678975,0.21236629469678975,8.871836121493696e-07,2.0505818564455236e-05,positive,direct_lfp_continuous_behavior_association,global_lfp,global,global,PL,pl,gamma,gamma,whole_slice_norm
state_working_mos_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,204,-0.33429836415965986,0.33429836415965986,1.0252909282227617e-06,2.0505818564455236e-05,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,MOs,mos,delta,delta,whole_slice_norm
state_rem_pl_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,350,0.25104722905195964,0.25104722905195964,1.9722534767792643e-06,3.0435505340234684e-05,positive,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,PL,pl,gamma,gamma,whole_slice_norm
state_working_pl_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,204,-0.32549999717276124,0.32549999717276124,2.029033689348979e-06,3.0435505340234684e-05,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,PL,pl,delta,delta,whole_slice_norm
state_nrem_ila_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,468,0.21349533305293758,0.21349533305293758,3.1606437028666987e-06,4.214191603822265e-05,positive,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,ILA,ila,gamma,gamma,whole_slice_norm
state_working_ila_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,204,-0.3176628913605239,0.3176628913605239,3.66131578684838e-06,4.393578944218056e-05,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,ILA,ila,delta,delta,whole_slice_norm
state_working_ila_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,204,-0.30278030658577,0.30278030658577,1.0737668546848084e-05,0.00011713820232925181,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,ILA,ila,theta,theta,whole_slice_norm
state_wake_mos_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.1894039068197748,0.1894039068197748,1.224208067068221e-05,0.0001224208067068221,negative,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,MOs,mos,delta,delta,whole_slice_norm
state_working_pl_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,204,-0.29503367241350065,0.29503367241350065,1.8375016691123025e-05,0.00016961553868728946,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,PL,pl,theta,theta,whole_slice_norm
