target,test_family,n_obs,r2_base,r2_full,delta_r2,permutation_p,fdr_q,top_term,top_beta,effect_sign,low_confidence,base_terms,test_terms,analysis_family,target_class,natural_state,natural_state_token,channel_group,channel_group_token,band,band_token,feature_scope
state_nrem_acad_delta_whole_slice_norm,rule_block,468,0.4636110718749572,0.5418200177322909,0.07820894585733373,0.000999000999000999,0.11988011988011987,rule_reversal_frequency,-0.18589915860590941,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,NREM,nrem,ACAd,acad,delta,delta,whole_slice_norm
state_wake_mos_delta_whole_slice_norm,rule_block,526,0.2740989938001457,0.34423561681262294,0.07013662301247725,0.000999000999000999,0.11988011988011987,rule_reversal_frequency,-0.23842200828870902,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,Wake,wake,MOs,mos,delta,delta,whole_slice_norm
lfp_mos_delta_whole_slice_norm,rule_block,526,0.7763452596833462,0.8006152782490042,0.024270018565658025,0.003996003996003996,0.1918081918081918,rule_reversal_frequency,-0.1470248193745869,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,global_lfp,global,global,MOs,mos,delta,delta,whole_slice_norm
state_rem_acad_delta_whole_slice_norm,rule_block,350,0.26980964336646474,0.3088693811699741,0.03905973780350935,0.011988011988011988,0.4110175538746967,rule_reversal_frequency,-0.35453607738330506,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,REM,rem,ACAd,acad,delta,delta,whole_slice_norm
state_wake_pl_gamma_whole_slice_norm,behavior_all,526,0.025040846354297597,0.19788348155542212,0.17284263520112453,0.016983016983016984,0.44400044400044403,rule_reversal_frequency,-0.35090361326552555,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned"", ""bias_left"", ""bias_right""]",lfp_behavior_modulation,state_lfp,Wake,wake,PL,pl,gamma,gamma,whole_slice_norm
state_wake_ila_theta_whole_slice_norm,rule_block,526,0.209127985761138,0.26262811397887453,0.05350012821773653,0.02097902097902098,0.44400044400044403,rule_reversal_frequency,-0.19956159903171336,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,Wake,wake,ILA,ila,theta,theta,whole_slice_norm
state_rem_ila_delta_whole_slice_norm,learning_stage_block,350,0.21736066423847022,0.26540484530936603,0.04804418107089581,0.02197802197802198,0.44400044400044403,perf_intermediate,-0.24118034605229793,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,state_lfp,REM,rem,ILA,ila,delta,delta,whole_slice_norm
state_wake_ila_delta_whole_slice_norm,rule_block,526,0.20752743984567867,0.25427766496742643,0.04675022512174776,0.028971028971028972,0.44400044400044403,rule_reversal_frequency,-0.2278796508747833,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,Wake,wake,ILA,ila,delta,delta,whole_slice_norm
state_rem_acad_gamma_whole_slice_norm,bias_block,350,0.018306763076951005,0.09153402403914157,0.07322726096219057,0.030969030969030968,0.44400044400044403,bias_left,-0.12261931331896633,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""bias_left"", ""bias_right""]",lfp_behavior_modulation,state_lfp,REM,rem,ACAd,acad,gamma,gamma,whole_slice_norm
state_wake_pl_theta_whole_slice_norm,rule_block,526,0.17507679552899813,0.2151470624332238,0.04007026690422566,0.03396603396603397,0.44400044400044403,rule_reversal_frequency,-0.23030993774029168,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,Wake,wake,PL,pl,theta,theta,whole_slice_norm
