target,test_family,n_obs,partial_r,permutation_p,fdr_q,top_term,effect_sign,low_confidence,base_terms,test_terms,analysis_family,target_class,natural_state,natural_state_token,channel_group,channel_group_token,band,band_token,feature_scope
state_working_pl_delta_whole_slice_norm,perf_pct_partial,204,-0.24684968314591216,0.015984015984015984,0.8109537521302227,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Working,working,PL,pl,delta,delta,whole_slice_norm
state_rem_mos_gamma_whole_slice_norm,perf_pct_partial,350,0.31376834208573023,0.017982017982017984,0.8109537521302227,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,REM,rem,MOs,mos,gamma,gamma,whole_slice_norm
state_wake_pl_gamma_whole_slice_norm,bias_score_partial,526,0.26561551966953206,0.03196803196803197,0.8109537521302227,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Wake,wake,PL,pl,gamma,gamma,whole_slice_norm
lfp_pl_gamma_whole_slice_norm,bias_score_partial,526,0.2504206271952012,0.03196803196803197,0.8109537521302227,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,global_lfp,global,global,PL,pl,gamma,gamma,whole_slice_norm
state_working_mos_delta_whole_slice_norm,bias_score_partial,204,-0.16313590975837208,0.04895104895104895,0.8109537521302227,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Working,working,MOs,mos,delta,delta,whole_slice_norm
state_nrem_mos_gamma_whole_slice_norm,perf_pct_partial,468,0.2453303294936845,0.055944055944055944,0.8109537521302227,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,NREM,nrem,MOs,mos,gamma,gamma,whole_slice_norm
state_nrem_mos_theta_whole_slice_norm,perf_pct_partial,468,0.31345594970217733,0.056943056943056944,0.8109537521302227,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,NREM,nrem,MOs,mos,theta,theta,whole_slice_norm
state_rem_mos_theta_whole_slice_norm,perf_pct_partial,350,0.21188102442928328,0.060939060939060936,0.8109537521302227,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,REM,rem,MOs,mos,theta,theta,whole_slice_norm
lfp_mos_theta_whole_slice_norm,perf_pct_partial,526,0.2998216901681963,0.06993006993006994,0.8109537521302227,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,global_lfp,global,global,MOs,mos,theta,theta,whole_slice_norm
state_nrem_pl_gamma_whole_slice_norm,bias_score_partial,468,0.202943929816354,0.07392607392607392,0.8109537521302227,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,NREM,nrem,PL,pl,gamma,gamma,whole_slice_norm
state_rem_mos_theta_whole_slice_norm,bias_score_partial,350,0.17035088419853028,0.08091908091908091,0.8109537521302227,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,REM,rem,MOs,mos,theta,theta,whole_slice_norm
state_nrem_acad_delta_whole_slice_norm,bias_score_partial,468,-0.11791277583714509,0.08691308691308691,0.8109537521302227,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,NREM,nrem,ACAd,acad,delta,delta,whole_slice_norm
state_working_acad_delta_whole_slice_norm,bias_score_partial,204,-0.20040578198117615,0.1028971028971029,0.8109537521302227,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Working,working,ACAd,acad,delta,delta,whole_slice_norm
state_working_pl_theta_whole_slice_norm,perf_pct_partial,204,-0.1930195863038347,0.10789210789210789,0.8109537521302227,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Working,working,PL,pl,theta,theta,whole_slice_norm
state_working_ila_delta_whole_slice_norm,bias_score_partial,204,-0.15932523959131387,0.1088911088911089,0.8109537521302227,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Working,working,ILA,ila,delta,delta,whole_slice_norm
state_wake_acad_gamma_whole_slice_norm,bias_score_partial,526,0.20882027642381026,0.11488511488511488,0.8109537521302227,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Wake,wake,ACAd,acad,gamma,gamma,whole_slice_norm
state_working_pl_delta_whole_slice_norm,bias_score_partial,204,-0.15496677973164127,0.11488511488511488,0.8109537521302227,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Working,working,PL,pl,delta,delta,whole_slice_norm
state_wake_mos_theta_whole_slice_norm,perf_pct_partial,526,0.17711782611783133,0.14985014985014986,0.8354145854145855,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Wake,wake,MOs,mos,theta,theta,whole_slice_norm
state_rem_pl_gamma_whole_slice_norm,bias_score_partial,350,0.1825978788657641,0.15084915084915085,0.8354145854145855,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,REM,rem,PL,pl,gamma,gamma,whole_slice_norm
state_rem_ila_gamma_whole_slice_norm,perf_pct_partial,350,0.1674204481983653,0.16683316683316685,0.8354145854145855,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,REM,rem,ILA,ila,gamma,gamma,whole_slice_norm
state_working_ila_theta_whole_slice_norm,bias_score_partial,204,-0.18415323480663334,0.17382617382617382,0.8354145854145855,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Working,working,ILA,ila,theta,theta,whole_slice_norm
lfp_acad_gamma_whole_slice_norm,bias_score_partial,526,0.19603068006195576,0.17682317682317683,0.8354145854145855,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,global_lfp,global,global,ACAd,acad,gamma,gamma,whole_slice_norm
lfp_mos_delta_whole_slice_norm,perf_pct_partial,526,0.1207616075322283,0.18081918081918083,0.8354145854145855,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,global_lfp,global,global,MOs,mos,delta,delta,whole_slice_norm
state_nrem_pl_gamma_whole_slice_norm,perf_pct_partial,468,0.14200830383599974,0.1938061938061938,0.8354145854145855,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,NREM,nrem,PL,pl,gamma,gamma,whole_slice_norm
state_nrem_pl_theta_whole_slice_norm,perf_pct_partial,468,0.09741083809397418,0.19480519480519481,0.8354145854145855,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,NREM,nrem,PL,pl,theta,theta,whole_slice_norm
lfp_mos_theta_whole_slice_norm,bias_score_partial,526,0.1683498967594629,0.1998001998001998,0.8354145854145855,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,global_lfp,global,global,MOs,mos,theta,theta,whole_slice_norm
state_working_ila_delta_whole_slice_norm,perf_pct_partial,204,-0.1623123900300223,0.1998001998001998,0.8354145854145855,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Working,working,ILA,ila,delta,delta,whole_slice_norm
