channel_group,channel_group_token,band,band_token,feature_scope,test_family,top_state,top_state_token,top_state_target,top_state_delta_r2,top_state_p,top_state_q,top_term,effect_sign,n_obs,significant_states,n_significant_states,state_selectivity_delta_r2,global_target,global_delta_r2,global_q,interpretation
ACAd,acad,delta,delta,whole_slice_norm,rule_block,NREM,nrem,state_nrem_acad_delta_whole_slice_norm,0.07820894585733373,0.000999000999000999,0.11988011988011987,rule_reversal_frequency,negative,468,,0,0.03914920805382438,lfp_acad_delta_whole_slice_norm,0.020853917999002713,0.47499670141179573,nominal_exploratory
MOs,mos,delta,delta,whole_slice_norm,rule_block,Wake,wake,state_wake_mos_delta_whole_slice_norm,0.07013662301247725,0.000999000999000999,0.11988011988011987,rule_reversal_frequency,negative,526,,0,0.03185768562949287,lfp_mos_delta_whole_slice_norm,0.024270018565658025,0.1918081918081918,nominal_exploratory
ACAd,acad,delta,delta,whole_slice_norm,behavior_all,NREM,nrem,state_nrem_acad_delta_whole_slice_norm,0.09103789564849951,0.002997002997002997,0.1918081918081918,rule_reversal_frequency,negative,468,,0,0.024653772200360025,lfp_acad_delta_whole_slice_norm,0.027791622960838258,0.6793206793206793,nominal_exploratory
ACAd,acad,delta,delta,whole_slice_norm,learning_stage_block,NREM,nrem,state_nrem_acad_delta_whole_slice_norm,0.050903264526475644,0.003996003996003996,0.1918081918081918,perf_learned,negative,468,,0,0.009327004708284181,lfp_acad_delta_whole_slice_norm,0.010564935009677812,0.6449364588899472,nominal_exploratory
MOs,mos,delta,delta,whole_slice_norm,behavior_all,Wake,wake,state_wake_mos_delta_whole_slice_norm,0.07609466306597068,0.011988011988011988,0.4110175538746967,rule_reversal_frequency,negative,526,,0,0.040101876653961366,lfp_mos_delta_whole_slice_norm,0.027295347796583158,0.44400044400044403,nominal_exploratory
PL,pl,gamma,gamma,whole_slice_norm,behavior_all,Wake,wake,state_wake_pl_gamma_whole_slice_norm,0.17284263520112453,0.016983016983016984,0.44400044400044403,rule_reversal_frequency,negative,526,,0,0.08520904638273408,lfp_pl_gamma_whole_slice_norm,0.10697136959873033,0.47499670141179573,nominal_exploratory
ILA,ila,theta,theta,whole_slice_norm,rule_block,Wake,wake,state_wake_ila_theta_whole_slice_norm,0.05350012821773653,0.02097902097902098,0.44400044400044403,rule_reversal_frequency,negative,526,,0,0.041757710953073124,lfp_ila_theta_whole_slice_norm,0.03225530618371697,0.44400044400044403,nominal_exploratory
ILA,ila,delta,delta,whole_slice_norm,learning_stage_block,REM,rem,state_rem_ila_delta_whole_slice_norm,0.04804418107089581,0.02197802197802198,0.44400044400044403,perf_intermediate,negative,350,,0,-0.019042089368378368,lfp_ila_delta_whole_slice_norm,0.008404769158087633,0.6723346583486444,nominal_exploratory
ACAd,acad,delta,delta,whole_slice_norm,bias_block,NREM,nrem,state_nrem_acad_delta_whole_slice_norm,0.031542751582325335,0.027972027972027972,0.44400044400044403,bias_left,positive,468,,0,-0.001526110751498888,lfp_acad_delta_whole_slice_norm,0.007666323577410261,0.693483731458415,nominal_exploratory
ILA,ila,delta,delta,whole_slice_norm,rule_block,Wake,wake,state_wake_ila_delta_whole_slice_norm,0.04675022512174776,0.028971028971028972,0.44400044400044403,rule_reversal_frequency,negative,526,,0,0.015349423724014821,lfp_ila_delta_whole_slice_norm,0.027374018683807733,0.44400044400044403,nominal_exploratory
